number of nodes 1847
number of triangles 3690


list of nodes + normals

-55.0093 -12.6368 -19.578   -0.186599 -0.53076 -0.826725
-54.8269 -14.4114 -17.781   -0.373066 -0.701857 -0.60681
-57.3379 -13.1902 -16.701   -0.380458 -0.683959 -0.622456
-56.78 -12.0997 -18.857   -0.441553 -0.689475 -0.574156
-58.8414 -11.2064 -18.362   -0.397839 -0.693956 -0.600125
-57.982 -10.2054 -19.802   -0.319902 -0.37305 -0.870917
-55.3203 -10.2088 -20.561   0.0480315 -0.125395 -0.990943
-52.546 -12.833 -19.506   0.170071 -0.275022 -0.946276
-52.2071 -14.7474 -18.076   -0.0148687 -0.665827 -0.745958
-52.4744 -10.2593 -19.568   0.497157 0.109415 -0.860734
-51.6722 -9.6495 -18.171   0.669436 0.237494 -0.703883
-50.0133 -10.8866 -17.333   0.663187 0.123551 -0.738186
-51.2408 -11.4259 -18.679   0.620681 0.153115 -0.768967
-51.1601 -12.8122 -18.992   0.472896 0.0281782 -0.880668
-61.1833 -10.2253 -18.038   -0.447435 -0.424219 -0.787299
-59.9233 -9.3303 -19.436   -0.432642 -0.299301 -0.850435
-61.9737 -7.1062 -18.254   -0.660086 -0.00693759 -0.751158
-60.2001 -7.1743 -19.595   -0.465246 -0.000215373 -0.885182
-58.2479 -7.1615 -20.241   -0.180857 0.00322671 -0.983504
-55.7626 -7.1902 -20.347   0.154395 0.073245 -0.98529
-53.5777 -7.3205 -19.246   0.511417 0.135936 -0.848513
-51.8408 -7.2385 -17.877   0.514633 0.056051 -0.855577
-61.5793 -3.7593 -17.778   -0.599948 0.269403 -0.753315
-59.7442 -2.7718 -18.579   -0.460256 0.336621 -0.821493
-58.465 -4.2128 -19.696   -0.247217 0.250212 -0.936097
-60.1871 -4.9881 -19.364   -0.478803 0.247363 -0.842354
-55.9826 -4.4137 -19.892   0.069317 0.129185 -0.989195
-53.8826 -4.4464 -19.33   0.396764 -0.0146863 -0.917803
-51.7702 -4.0061 -18.321   0.44301 -0.0672231 -0.893993
-58.8579 -0.3158 -17.89   -0.372525 0.4149 -0.83011
-55.6832 0.2996 -18.615   -0.171733 0.40878 -0.89633
-55.911 -2.0478 -19.558   -0.0914911 0.291966 -0.952043
-57.7469 -2.1589 -19.178   -0.279016 0.382214 -0.880944
-52.5744 -0.3156 -18.801   0.264989 0.140367 -0.95398
-54.1534 -2.2164 -19.567   0.21587 0.129028 -0.96786
-54.3625 -16.1417 -15.886   -0.333443 -0.625213 -0.705637
-54.7494 -18.3479 -14.318   -0.243242 -0.535757 -0.808578
-57.5904 -17.2882 -13.388   -0.336597 -0.465791 -0.818377
-56.1443 -15.4167 -15.226   -0.378176 -0.571565 -0.728214
-58.5934 -14.9902 -14.295   -0.220308 -0.589961 -0.776795
-51.9892 -16.5326 -16.214   -0.0844735 -0.668457 -0.738938
-52.0938 -18.6939 -14.565   -0.0379083 -0.712336 -0.700814
-49.4297 -16.4993 -16.168   0.35051 -0.599484 -0.719556
-49.2819 -18.6097 -14.544   0.334741 -0.689292 -0.642515
-60.7799 -12.5669 -16.171   -0.184373 -0.624327 -0.759093
-61.2178 -14.9438 -14.28   -0.192336 -0.609103 -0.769416
-64.5589 -14.1392 -13.869   -0.597125 -0.497876 -0.628936
-63.0718 -12.4397 -16.004   -0.372845 -0.567513 -0.734109
-65.9191 -10.2592 -14.031   -0.840978 -0.156069 -0.518071
-63.7463 -10.1843 -16.817   -0.609204 -0.16661 -0.775314
-65.8885 -6.9603 -13.758   -0.831879 0.0714393 -0.55034
-64.0027 -7.0126 -16.297   -0.72016 0.083686 -0.688743
-49.5052 -7.5771 -16.876   0.524421 -0.0134521 -0.851353
-65.6685 -3.5395 -13.411   -0.791868 0.127021 -0.597337
-63.7559 -3.7017 -15.591   -0.707697 0.184358 -0.682039
-65.3501 -0.1346 -13.064   -0.770336 0.079823 -0.632622
-63.5848 -0.5196 -14.891   -0.611749 0.173843 -0.771714
-61.4818 -0.5427 -16.269   -0.517031 0.319871 -0.793953
-65.0351 3.3773 -13.405   -0.668732 0.211843 -0.712685
-62.2804 4.4232 -14.258   -0.298868 0.305277 -0.904148
-61.6807 2.3498 -15.226   -0.348642 0.335017 -0.875335
-63.6075 1.9256 -14.8   -0.438752 0.202681 -0.875452
-60.2682 4.8488 -14.516   -0.27427 0.328753 -0.903713
